 INFO  Accepting connections at http://localhost:3000
 HTTP  8/13/2025 10:42:40 PM ::1 Returned 200 in 1 ms
 HTTP  8/13/2025 10:42:40 PM ::1 GET /static/css/main.18253ad6.css
 HTTP  8/13/2025 10:42:40 PM ::1 GET /static/js/main.9bf3bf1f.js
 HTTP  8/13/2025 10:42:40 PM ::1 Returned 304 in 1 ms
 HTTP  8/13/2025 10:42:40 PM ::1 Returned 304 in 0 ms
 HTTP  8/13/2025 10:42:40 PM ::1 GET /favicon.ico
 HTTP  8/13/2025 10:42:40 PM ::1 Returned 304 in 0 ms
 HTTP  8/13/2025 10:42:54 PM ::1 GET /alerts
 HTTP  8/13/2025 10:42:54 PM ::1 Returned 304 in 1 ms
 HTTP  8/13/2025 10:42:54 PM ::1 GET /static/js/main.9bf3bf1f.js
 HTTP  8/13/2025 10:42:54 PM ::1 GET /static/css/main.18253ad6.css
 HTTP  8/13/2025 10:42:54 PM ::1 Returned 304 in 1 ms
 HTTP  8/13/2025 10:42:54 PM ::1 Returned 304 in 0 ms
 HTTP  8/13/2025 10:42:54 PM ::1 GET /favicon.ico
 HTTP  8/13/2025 10:42:54 PM ::1 Returned 304 in 1 ms
